Column1,Column2,Column3,Column4,Column5,Column6
2017-2018,Apertura,  Sabado 12 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 3-n12 Agosto 2017 - 2115 hrs,  2 - 1,  BBVA Bancomer,  81223-rayados-de-monterrey-vs-queretaro
2017-2018,Apertura,  Viernes 18 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 4-n18 Agosto 2017 - 1600 hrs,  1 - 1,  Victoria,  81228-necaxa-vs-santos-laguna
2017-2018,Apertura,  Sabado 19 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 4-n19 Agosto 2017 - 0900 hrs,  2 - 3,  Luis Pirata Fuente,  81232-veracruz-vs-toluca
2017-2018,Apertura,  Sabado 19 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 4-n19 Agosto 2017 - 1100 hrs,  4 - 2,  Colomos,  81241-atlas-vs-rayados-de-monterrey
2017-2018,Apertura,  Sabado 19 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 4-n19 Agosto 2017 - 1100 hrs,  1 - 9,  Ciudad De Los Deportes,  81225-cruz-azul-vs-pachuca
2017-2018,Apertura,  Sabado 19 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 4-n19 Agosto 2017 - 1130 hrs,  1 - 3,  La Corregidora,  81238-queretaro-vs-guadalajara
2017-2018,Apertura,  Sabado 19 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 4-n19 Agosto 2017 - 1600 hrs,  5 - 0,  Azteca,  81243-america-vs-m-morelia
2017-2018,Apertura,  Sabado 19 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 4-n19 Agosto 2017 - 1600 hrs,  3 - 3,  Caliente,  81246-tijuana-vs-pumas
2017-2018,Apertura,  Sabado 19 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 4-n19 Agosto 2017 - 2105 hrs,  9 - 0,  Universitario,  81235-tigres-de-la-uanl-vs-leon
2017-2018,Apertura,  Viernes 25 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 5-n25 Agosto 2017 - 1200 hrs,  0 - 2,  Instalaciones Metepec Cancha 1,  81160-toluca-vs-m-morelia
2017-2018,Apertura,  Viernes 25 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 5-n25 Agosto 2017 - 1700 hrs,  3 - 0,  Nou Camp,  81158-leon-vs-necaxa
2017-2018,Apertura,  Sabado 26 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 5-n26 Agosto 2017 - 0900 hrs,  1 - 2,  TSM Corona,  81165-santos-laguna-vs-queretaro
2017-2018,Apertura,  Sabado 26 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 5-n26 Agosto 2017 - 0900 hrs,  0 - 3,  Centro de Alto Rendimiento Cancha 1,  81163-veracruz-vs-tijuana
2017-2018,Apertura,  Sabado 26 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 5-n26 Agosto 2017 - 1600 hrs,  4 - 1,  La Cantera,  81173-pumas-vs-cruz-azul
2017-2018,Apertura,  Sabado 26 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 5-n26 Agosto 2017 - 2105 hrs,  4 - 0,  Universitario,  81170-tigres-de-la-uanl-vs-atlas
2017-2018,Apertura,  Domingo 27 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 5-n27 Agosto 2017 - 1000 hrs,  2 - 1,  Estadio BBVA Bancomer,  81176-rayados-de-monterrey-vs-guadalajara
2017-2018,Apertura,  Lunes 28 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 5-n28 Agosto 2017 - 1900 hrs,  1 - 1,  Hidalgo,  81157-pachuca-vs-america
2017-2018,Apertura,  Viernes 1 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 6-n1 Septiembre 2017 - 1200 hrs,  4 - 0,  Nemesio Diez,  81178-toluca-vs-tijuana
2017-2018,Apertura,  Viernes 1 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 6-n1 Septiembre 2017 - 1600 hrs,  3 - 1,  Ciudad De Los Deportes,  81181-cruz-azul-vs-veracruz
2017-2018,Apertura,  Viernes 1 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 6-n1 Septiembre 2017 - 1600 hrs,  1 - 0,  Instalaciones Casa Club Necaxa Cancha 5 Sintetica,  81184-necaxa-vs-atlas
2017-2018,Apertura,  Sabado 2 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 6-n2 Septiembre 2017 - 1130 hrs,  0 - 3,  La Corregidora,  81190-queretaro-vs-leon
2017-2018,Apertura,  Sabado 2 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 6-n2 Septiembre 2017 - 1230 hrs,  0 - 4,  Jose Mari­a Morelos y Pavon,  81193-m-morelia-vs-pachuca
2017-2018,Apertura,  Sabado 2 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 6-n2 Septiembre 2017 - 1600 hrs,  1 - 0,  Azteca,  81196-america-vs-pumas
2017-2018,Apertura,  Sabado 2 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 6-n2 Septiembre 2017 - 1915 hrs,  2 - 1,  Estadio BBVA Bancomer,  81199-rayados-de-monterrey-vs-tigres-de-la-uanl
2017-2018,Apertura,  Domingo 3 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 6-n3 Septiembre 2017 - 1000 hrs,  6 - 0,  Verde Valle,  81187-guadalajara-vs-santos-laguna
2017-2018,Apertura,  Sabado 9 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 7-n9 Septiembre 2017 - 0900 hrs,  0 - 3,  TSM Corona,  81210-santos-laguna-vs-rayados-de-monterrey
2017-2018,Apertura,  Sabado 9 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 7-n9 Septiembre 2017 - 1000 hrs,  3 - 0,  Instalaciones Zuazua,  81213-tigres-de-la-uanl-vs-necaxa
2017-2018,Apertura,  Sabado 9 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 7-n9 Septiembre 2017 - 1010 hrs,  1 - 8,  Luis Pirata Fuente,  81207-veracruz-vs-america
2017-2018,Apertura,  Sabado 9 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 7-n9 Septiembre 2017 - 1100 hrs,  4 - 2,  Colomos,  81215-atlas-vs-queretaro
2017-2018,Apertura,  Sabado 9 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 7-n9 Septiembre 2017 - 1600 hrs,  3 - 0,  La Cantera,  81217-pumas-vs-m-morelia
2017-2018,Apertura,  Sabado 9 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 7-n9 Septiembre 2017 - 1600 hrs,  1 - 0,  Cancha Alterna numero 1 (Pasto Natural) del Estadio Caliente,  81222-tijuana-vs-cruz-azul
2017-2018,Apertura,  Lunes 11 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 7-n11 Septiembre 2017 - 1900 hrs,  0 - 2,  Hidalgo,  81202-pachuca-vs-toluca
2017-2018,Apertura,  Lunes 11 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 7-n11 Septiembre 2017 - 2100 hrs,  1 - 3,  Nou Camp,  81204-leon-vs-guadalajara
2017-2018,Apertura,  Viernes 15 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 8-n15 Septiembre 2017 - 1000 hrs,  0 - 1,  Instalaciones La Noria Cancha 1,  81229-cruz-azul-vs-toluca
2017-2018,Apertura,  Viernes 15 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 8-n15 Septiembre 2017 - 1100 hrs,  1 - 1,  Colomos,  81240-atlas-vs-guadalajara
2017-2018,Apertura,  Viernes 15 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 8-n15 Septiembre 2017 - 1600 hrs,  2 - 2,  Victoria,  81231-necaxa-vs-rayados-de-monterrey
2017-2018,Apertura,  Viernes 15 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 8-n15 Septiembre 2017 - 1700 hrs,  5 - 2,  Nou Camp,  81227-leon-vs-santos-laguna
2017-2018,Apertura,  Viernes 15 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 8-n15 Septiembre 2017 - 2115 hrs,  2 - 2,  Caliente,  81247-tijuana-vs-america
2017-2018,Apertura,  Sabado 16 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 8-n16 Septiembre 2017 - 1000 hrs,  0 - 1,  Centro de Alto Rendimiento Cancha 1,  81234-veracruz-vs-m-morelia
2017-2018,Apertura,  Sabado 16 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 8-n16 Septiembre 2017 - 1600 hrs,  1 - 1,  La Cantera,  81244-pumas-vs-pachuca
2017-2018,Apertura,  Sabado 16 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 8-n16 Septiembre 2017 - 1900 hrs,  4 - 0,  Universitario,  81237-tigres-de-la-uanl-vs-queretaro
2017-2018,Apertura,  Viernes 29 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 10-n29 Septiembre 2017 - 1600 hrs,  0 - 1,  Victoria,  81182-necaxa-vs-guadalajara
2017-2018,Apertura,  Viernes 29 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 10-n29 Septiembre 2017 - 1600 hrs,  0 - 2,  Instalaciones La Noria Cancha 1,  81179-cruz-azul-vs-m-morelia
2017-2018,Apertura,  Sabado 30 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 10-n30 Septiembre 2017 - 0900 hrs,  1 - 1,  Luis Pirata Fuente,  81185-veracruz-vs-pumas
2017-2018,Apertura,  Sabado 30 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 10-n30 Septiembre 2017 - 1100 hrs,  2 - 1,  Colomos,  81194-atlas-vs-leon
2017-2018,Apertura,  Sabado 30 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 10-n30 Septiembre 2017 - 1100 hrs,  0 - 2,  La Corregidora,  81191-queretaro-vs-rayados-de-monterrey
2017-2018,Apertura,  Sabado 30 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 10-n30 Septiembre 2017 - 1600 hrs,  3 - 0,  Instalaciones Club America Coapa,  81198-america-vs-toluca
2017-2018,Apertura,  Sabado 30 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 10-n30 Septiembre 2017 - 1600 hrs,  1 - 2,  Caliente,  81201-tijuana-vs-pachuca
2017-2018,Apertura,  Sabado 30 de Septiembre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 10-n30 Septiembre 2017 - 2105 hrs,  7 - 1,  Universitario,  81188-tigres-de-la-uanl-vs-santos-laguna
2017-2018,Apertura,  Viernes 6 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 11-n6 Octubre 2017 - 1200 hrs,  3 - 0,  Instalaciones Metepec Cancha 1 Natural,  81211-toluca-vs-veracruz
2017-2018,Apertura,  Viernes 6 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 11-n6 Octubre 2017 - 1700 hrs,  1 - 8,  Nou Camp,  81208-leon-vs-tigres-de-la-uanl
2017-2018,Apertura,  Sabado 7 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 11-n7 Octubre 2017 - 1000 hrs,  0 - 0,  TSM Corona,  81216-santos-laguna-vs-necaxa
2017-2018,Apertura,  Sabado 7 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 11-n7 Octubre 2017 - 1230 hrs,  1 - 7,  Jose Mari­a Morelos y Pavon,  81221-m-morelia-vs-america
2017-2018,Apertura,  Sabado 7 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 11-n7 Octubre 2017 - 1600 hrs,  1 - 1,  La Cantera,  81224-pumas-vs-tijuana
2017-2018,Apertura,  Sabado 7 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 11-n7 Octubre 2017 - 1700 hrs,  4 - 1,  Estadio BBVA Bancomer,  81226-rayados-de-monterrey-vs-atlas
2017-2018,Apertura,  Domingo 8 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 11-n8 Octubre 2017 - 1200 hrs,  6 - 2,  Verde Valle,  81218-guadalajara-vs-queretaro
2017-2018,Apertura,  Lunes 9 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 11-n9 Octubre 2017 - 1900 hrs,  1 - 1,  Hidalgo,  81205-pachuca-vs-cruz-azul
2017-2018,Apertura,  Viernes 13 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 12-n13 Octubre 2017 - 1600 hrs,  1 - 0,  Instalaciones Casa Club Necaxa Cancha 5 Sintetica,  81233-necaxa-vs-leon
2017-2018,Apertura,  Sabado 14 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 12-n14 Octubre 2017 - 1100 hrs,  1 - 0,  La Corregidora,  81242-queretaro-vs-santos-laguna
2017-2018,Apertura,  Sabado 14 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 12-n14 Octubre 2017 - 1230 hrs,  0 - 2,  Jose Mari­a Morelos y Pavon,  81245-m-morelia-vs-toluca
2017-2018,Apertura,  Sabado 14 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 12-n14 Octubre 2017 - 1600 hrs,  1 - 0,  Caliente,  81249-tijuana-vs-veracruz
2017-2018,Apertura,  Domingo 15 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 12-n15 Octubre 2017 - 1100 hrs,  1 - 2,  Jalisco,  81239-atlas-vs-tigres-de-la-uanl
2017-2018,Apertura,  Domingo 15 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 12-n15 Octubre 2017 - 1100 hrs,  1 - 4,  Ciudad De Los Deportes,  81230-cruz-azul-vs-pumas
2017-2018,Apertura,  Domingo 15 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 12-n15 Octubre 2017 - 1200 hrs,  1 - 0,  Verde Valle,  81236-guadalajara-vs-rayados-de-monterrey
2017-2018,Apertura,  Domingo 15 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 12-n15 Octubre 2017 - 1600 hrs,  3 - 4,  Azteca,  81248-america-vs-pachuca
2017-2018,Apertura,  Martes 17 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 9-n17 Octubre 2017 - 1100 hrs,  1 - 2,  Cancha Alterna TSM Cancha 2 Sintetica,  81162-santos-laguna-vs-atlas
2017-2018,Apertura,  Martes 17 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 9-n17 Octubre 2017 - 1100 hrs,  3 - 0,  La Corregidora,  81166-queretaro-vs-necaxa
2017-2018,Apertura,  Miercoles 18 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 9-n18 Octubre 2017 - 1200 hrs,  2 - 1,  Hidalgo,  81159-pachuca-vs-veracruz
2017-2018,Apertura,  Miercoles 18 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 9-n18 Octubre 2017 - 1200 hrs,  1 - 3,  Instalaciones Metepec Cancha 1 Natural,  81155-toluca-vs-pumas
2017-2018,Apertura,  Miercoles 18 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 9-n18 Octubre 2017 - 1600 hrs,  1 - 0,  Verde Valle,  81156-guadalajara-vs-tigres-de-la-uanl
2017-2018,Apertura,  Miercoles 18 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 9-n18 Octubre 2017 - 1600 hrs,  1 - 0,  Jose Mari­a Morelos y Pavon,  81168-m-morelia-vs-tijuana
2017-2018,Apertura,  Miercoles 18 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 9-n18 Octubre 2017 - 1600 hrs,  6 - 0,  Instalaciones Club America Coapa,  81172-america-vs-cruz-azul
2017-2018,Apertura,  Miercoles 18 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 9-n18 Octubre 2017 - 1700 hrs,  4 - 0,  El Barrial,  81175-rayados-de-monterrey-vs-leon
2017-2018,Apertura,  Viernes 20 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 13-n20 Octubre 2017 - 1700 hrs,  2 - 2,  Nou Camp,  81251-leon-vs-queretaro
2017-2018,Apertura,  Sabado 21 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 13-n21 Octubre 2017 - 0900 hrs,  0 - 0,  Centro de Alto Rendimiento Cancha 1,  81252-veracruz-vs-cruz-azul
2017-2018,Apertura,  Sabado 21 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 13-n21 Octubre 2017 - 1000 hrs,  1 - 2,  TSM Corona,  81253-santos-laguna-vs-guadalajara
2017-2018,Apertura,  Sabado 21 de Octubre de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 13-n21 Octubre 2017 - 1100 hrs,  1 - 1,  Colomos,  81255-atlas-vs-necaxa
