Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13

2018-2019,Clausura,{'type': 'text', 'value': 'Domingo 13 de Enero de 2019\nTemporada 2018-2019\nTorneo Clausura\nJornada 2\n13 Enero 2019 - 10:30 hrs.'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/95560/eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY5IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg1LCJpZENsdWJ2aXNpdGEiOjExMTg5fQ==/informe-arbitral-rayados-de-monterrey-vs-necaxa-jornada-2-estadio-el-barrial-c-1', 'text': '5 - 1'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/estadio/73/estadio-el-barrial-c-1', 'text': 'El Barrial C-1'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/galeria/OTU1NjAvMi82OS8yLzE0/rayados-de-monterrey-vs-necaxa', 'text': ''}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/playlist/95560/rayados-de-monterrey-vs-necaxa', 'text': ''}"

2018-2019,Clausura,{'type': 'text', 'value': 'Lunes 14 de Enero de 2019\nTemporada 2018-2019\nTorneo Clausura\nJornada 2\n14 Enero 2019 - 16:00 hrs.'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/95561/eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY5IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExNTQyLCJpZENsdWJ2aXNpdGEiOjExMTgxfQ==/informe-arbitral-lobos-vs-cruz-azul-jornada-2-estadio-universitario-buap-univision-tdn', 'text': '3 - 0'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/estadio/75/estadio-universitario-buap', 'text': 'Universitario BUAP'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/galeria/OTU1NjEvMi82OS8yLzE0/lobos-vs-cruz-azul', 'text': ''}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/playlist/95561/lobos-vs-cruz-azul', 'text': ''}"

2018-2019,Clausura,{'type': 'text', 'value': 'Lunes 14 de Enero de 2019\nTemporada 2018-2019\nTorneo Clausura\nJornada 2\n14 Enero 2019 - 17:00 hrs.'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/95563/eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY5IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMjQyLCJpZENsdWJ2aXNpdGEiOjExMTgwfQ==/informe-arbitral-veracruz-vs-tijuana-jornada-2-estadio-luis-pirata-fuente-tibuvision', 'text': '1 - 2'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/estadio/57/estadio-luis-pirata-fuente', 'text': 'Luis Pirata Fuente'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/galeria/OTU1NjMvMi82OS8yLzE0/veracruz-vs-tijuana', 'text': ''}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/playlist/95563/veracruz-vs-tijuana', 'text': ''}"

2018-2019,Clausura,{'type': 'text', 'value': 'Lunes 14 de Enero de 2019\nTemporada 2018-2019\nTorneo Clausura\nJornada 2\n14 Enero 2019 - 19:00 hrs.'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/95565/eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY5IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg0LCJpZENsdWJ2aXNpdGEiOjExNTQzfQ==/informe-arbitral-pachuca-vs-puebla-fc-jornada-2-estadio-hidalgo', 'text': '0 - 0'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/estadio/11/estadio-hidalgo', 'text': 'Hidalgo'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/galeria/OTU1NjUvMi82OS8yLzE0/pachuca-vs-puebla-fc', 'text': ''}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/playlist/95565/pachuca-vs-puebla-fc', 'text': ''}"

2018-2019,Clausura,{'type': 'text', 'value': 'Lunes 14 de Enero de 2019\nTemporada 2018-2019\nTorneo Clausura\nJornada 2\n14 Enero 2019 - 19:00 hrs.'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/95556/eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY5IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMjQzLCJpZENsdWJ2aXNpdGEiOjExMTg2fQ==/informe-arbitral-leon-vs-tigres-de-la-uanl-jornada-2-estadio-nou-camp-fox-sports', 'text': '2 - 1'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/estadio/23/estadio-nou-camp', 'text': 'Nou Camp'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/galeria/OTU1NTYvMi82OS8yLzE0/leon-vs-tigres-de-la-uanl', 'text': ''}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/playlist/95556/leon-vs-tigres-de-la-uanl', 'text': ''}"

2018-2019,Clausura,{'type': 'text', 'value': 'Lunes 14 de Enero de 2019\nTemporada 2018-2019\nTorneo Clausura\nJornada 2\n14 Enero 2019 - 21:00 hrs.'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/95568/eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY5IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTkyLCJpZENsdWJ2aXNpdGEiOjExMTgzfQ==/informe-arbitral-santos-laguna-vs-m-morelia-jornada-2-estadio-tsm-corona-fox-sports', 'text': '1 - 1'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/estadio/63/estadio-tsm-corona', 'text': 'TSM Corona'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/galeria/OTU1NjgvMi82OS8yLzE0/santos-laguna-vs-m-morelia', 'text': ''}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/playlist/95568/santos-laguna-vs-m-morelia', 'text': ''}"

2018-2019,Clausura,{'type': 'text', 'value': 'Viernes 18 de Enero de 2019\nTemporada 2018-2019\nTorneo Clausura\nJornada 3\n18 Enero 2019 - 15:45 hrs.'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/95569/eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY5IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTgxLCJpZENsdWJ2aXNpdGEiOjExMTkxfQ==/informe-arbitral-cruz-azul-vs-america-jornada-3-estadio-10-de-diciembre-univision-tdn', 'text': '2 - 3'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/estadio/30/estadio-10-de-diciembre', 'text': '10 de Diciembre'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/galeria/OTU1NjkvMy82OS8yLzE0/cruz-azul-vs-america', 'text': ''}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/playlist/95569/cruz-azul-vs-america', 'text': ''}"

2018-2019,Clausura,{'type': 'text', 'value': 'Viernes 18 de Enero de 2019\nTemporada 2018-2019\nTorneo Clausura\nJornada 3\n18 Enero 2019 - 16:00 hrs.'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/95570/eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY5IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMjQ0LCJpZENsdWJ2aXNpdGEiOjExMjQzfQ==/informe-arbitral-queretaro-vs-leon-jornada-3-estadio-la-corregidora-tvc-deportes', 'text': '0 - 2'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/estadio/25/estadio-la-corregidora', 'text': 'La Corregidora'}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/galeria/OTU1NzAvMy82OS8yLzE0/queretaro-vs-leon', 'text': ''}",{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/playlist/95570/queretaro-vs-leon', 'text': ''}"

