2022-2023,Clausura,  Domingo 22 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 3-n22 Enero 2023 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130529-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTkxLCJpZENsdWJ2aXNpdGEiOjExMTgwfQ==-informe-arbitral-america-vs-tijuana-jornada-3-estadio-azteca-vix-mxus,  5 - 0,  https--www.ligafemenil.mx-cancha-estadio-1-estadio-azteca,  Azteca,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTI5LzMvNzMvMi8xNA==-america-vs-tijuana,  ,  https--www.ligafemenil.mx-cancha-playlist-130529-america-vs-tijuana,  
2022-2023,Clausura,  Lunes 23 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 3-n23 Enero 2023 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130530-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg3LCJpZENsdWJ2aXNpdGEiOjEyMDQyfQ==-informe-arbitral-toluca-vs-gallos-blancos-de-queretaro-jornada-3-estadio-nemesio-diez-vixzonamxus,  0 - 1,  https--www.ligafemenil.mx-cancha-estadio-6-estadio-nemesio-diez,  Nemesio Diez,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTMwLzMvNzMvMi8xNA==-toluca-vs-gallos-blancos-de-queretaro,  ,  https--www.ligafemenil.mx-cancha-playlist-130530-toluca-vs-gallos-blancos-de-queretaro,  
2022-2023,Clausura,  Lunes 23 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 3-n23 Enero 2023 - 1705 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130531-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMjQzLCJpZENsdWJ2aXNpdGEiOjExMTg4fQ==-informe-arbitral-leon-vs-pumas-jornada-3-estadio-nou-camp-fox-sports--fox-premium,  0 - 3,  https--www.ligafemenil.mx-cancha-estadio-23-estadio-nou-camp,  Nou Camp,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTMxLzMvNzMvMi8xNA==-leon-vs-pumas,  ,  https--www.ligafemenil.mx-cancha-playlist-130531-leon-vs-pumas,  
2022-2023,Clausura,  Lunes 23 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 3-n23 Enero 2023 - 1906 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130533-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg1LCJpZENsdWJ2aXNpdGEiOjEyMDUxfQ==-informe-arbitral-rayados-de-monterrey-vs-mazatlan-fc-jornada-3-estadio-bbva-fox-sports--fox-premium,  9 - 0,  https--www.ligafemenil.mx-cancha-estadio-1608-estadio-bbva,  Estadio BBVA,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTMzLzMvNzMvMi8xNA==-rayados-de-monterrey-vs-mazatlan-fc,  ,  https--www.ligafemenil.mx-cancha-playlist-130533-rayados-de-monterrey-vs-mazatlan-fc,  
2022-2023,Clausura,  Lunes 23 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 3-n23 Enero 2023 - 2106 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130536-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTkyLCJpZENsdWJ2aXNpdGEiOjExMTgyfQ==-informe-arbitral-santos-laguna-vs-guadalajara-jornada-3-estadio-tsm-corona-fox-premium,  1 - 2,  https--www.ligafemenil.mx-cancha-estadio-63-estadio-tsm-corona,  TSM Corona,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTM2LzMvNzMvMi8xNA==-santos-laguna-vs-guadalajara,  ,  https--www.ligafemenil.mx-cancha-playlist-130536-santos-laguna-vs-guadalajara,  
2022-2023,Clausura,  Martes 24 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 3-n24 Enero 2023 - 1545 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130539-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExNTQzLCJpZENsdWJ2aXNpdGEiOjExMTg2fQ==-informe-arbitral-puebla-fc-vs-tigres-de-la-uanl-jornada-3-estadio-cuauhtemoc-azteca-digital,  0 - 2,  https--www.ligafemenil.mx-cancha-estadio-9-estadio-cuauhtemoc,  Cuauhtémoc,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTM5LzMvNzMvMi8xNA==-puebla-fc-vs-tigres-de-la-uanl,  ,  https--www.ligafemenil.mx-cancha-playlist-130539-puebla-fc-vs-tigres-de-la-uanl,  
2022-2023,Clausura,  Viernes 27 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 4-n27 Enero 2023 - 1905 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130556-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjEyMDQyLCJpZENsdWJ2aXNpdGEiOjExMTkyfQ==-informe-arbitral-gallos-blancos-de-queretaro-vs-santos-laguna-jornada-4-estadio-olimpico-alameda-fox-premium,  0 - 0,  https--www.ligafemenil.mx-cancha-estadio-1741-estadio-olimpico-alameda,  Estadio Olímpico Alameda,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTU2LzQvNzMvMi8xNA==-gallos-blancos-de-queretaro-vs-santos-laguna,  ,  https--www.ligafemenil.mx-cancha-playlist-130556-gallos-blancos-de-queretaro-vs-santos-laguna,  
2022-2023,Clausura,  Sábado 28 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 4-n28 Enero 2023 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130559-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg4LCJpZENsdWJ2aXNpdGEiOjExMTg0fQ==-informe-arbitral-pumas-vs-pachuca-jornada-4-estadio-olimpico-universitario-vixzonamx--vixus,  2 - 3,  https--www.ligafemenil.mx-cancha-estadio-7-estadio-olimpico-universitario,  Olímpico Universitario,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTU5LzQvNzMvMi8xNA==-pumas-vs-pachuca,  ,  https--www.ligafemenil.mx-cancha-playlist-130559-pumas-vs-pachuca,  
2022-2023,Clausura,  Sábado 28 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 4-n28 Enero 2023 - 1705 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130564-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMjQzLCJpZENsdWJ2aXNpdGEiOjExMTg1fQ==-informe-arbitral-leon-vs-rayados-de-monterrey-jornada-4-estadio-nou-camp-fox-sports,  0 - 1,  https--www.ligafemenil.mx-cancha-estadio-23-estadio-nou-camp,  Nou Camp,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTY0LzQvNzMvMi8xNA==-leon-vs-rayados-de-monterrey,  ,  https--www.ligafemenil.mx-cancha-playlist-130564-leon-vs-rayados-de-monterrey,  
2022-2023,Clausura,  Domingo 29 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 4-n29 Enero 2023 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130569-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExNzc4LCJpZENsdWJ2aXNpdGEiOjExMjQ1fQ==-informe-arbitral-club-atletico-de-san-luis-vs-atlas-jornada-4-estadio-alfonso-lastras-ramirez-espn,  5 - 1,  https--www.ligafemenil.mx-cancha-estadio-14-estadio-alfonso-lastras-ramirez,  Alfonso Lastras Ramírez,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTY5LzQvNzMvMi8xNA==-club-atletico-de-san-luis-vs-atlas,  ,  https--www.ligafemenil.mx-cancha-playlist-130569-club-atletico-de-san-luis-vs-atlas,  
