2017-2018,Clausura,  Domingo 21 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 3-n21 Enero 2018 - 1030 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88400-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg1LCJpZENsdWJ2aXNpdGEiOjExMjQ0fQ==-informe-arbitral-rayados-de-monterrey-vs-queretaro-jornada-3-estadio-el-barrial,  2 - 0,  https--www.ligafemenil.mx-cancha-estadio-675-estadio-el-barrial,  El Barrial,  https--www.ligafemenil.mx-cancha-galeria-ODg0MDAvMy82OC8yLzE0-rayados-de-monterrey-vs-queretaro,  ,  https--www.ligafemenil.mx-cancha-playlist-88400-rayados-de-monterrey-vs-queretaro,  
2017-2018,Clausura,  Lunes 22 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 3-n22 Enero 2018 - 2100 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88402-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTkyLCJpZENsdWJ2aXNpdGEiOjExMTg2fQ==-informe-arbitral-santos-laguna-vs-tigres-de-la-uanl-jornada-3-estadio-tsm-corona,  0 - 2,  https--www.ligafemenil.mx-cancha-estadio-63-estadio-tsm-corona,  TSM Corona,  https--www.ligafemenil.mx-cancha-galeria-ODg0MDIvMy82OC8yLzE0-santos-laguna-vs-tigres-de-la-uanl,  ,  https--www.ligafemenil.mx-cancha-playlist-88402-santos-laguna-vs-tigres-de-la-uanl,  
2017-2018,Clausura,  Lunes 22 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 3-n22 Enero 2018 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88386-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTgwLCJpZENsdWJ2aXNpdGEiOjExMTg3fQ==-informe-arbitral-tijuana-vs-toluca-jornada-3-estadio-caliente,  1 - 2,  https--www.ligafemenil.mx-cancha-estadio-48-estadio-caliente,  Caliente,  https--www.ligafemenil.mx-cancha-galeria-ODgzODYvMy82OC8yLzE0-tijuana-vs-toluca,  ,  https--www.ligafemenil.mx-cancha-playlist-88386-tijuana-vs-toluca,  
2017-2018,Clausura,  Viernes 26 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 4-n26 Enero 2018 - 1000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88403-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMjQzLCJpZENsdWJ2aXNpdGEiOjExMTkyfQ==-informe-arbitral-leon-vs-santos-laguna-jornada-4-estadio-instalaciones-casa-club-leon-f-c,  0 - 1,  https--www.ligafemenil.mx-cancha-estadio-257-estadio-instalaciones-casa-club-leon-f-c,  Instalaciones Casa Club León, F. C.,  https--www.ligafemenil.mx-cancha-galeria-ODg0MDMvNC82OC8yLzE0-leon-vs-santos-laguna,  ,  https--www.ligafemenil.mx-cancha-playlist-88403-leon-vs-santos-laguna,  
2017-2018,Clausura,  Sábado 27 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 4-n27 Enero 2018 - 0900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88381-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMjQyLCJpZENsdWJ2aXNpdGEiOjExMTg4fQ==-informe-arbitral-veracruz-vs-pumas-jornada-4-estadio-centro-de-alto-rendimiento-cancha-1,  0 - 3,  https--www.ligafemenil.mx-cancha-estadio-1416-estadio-centro-de-alto-rendimiento-cancha-1,  Centro de Alto Rendimiento Cancha 1,  https--www.ligafemenil.mx-cancha-galeria-ODgzODEvNC82OC8yLzE0-veracruz-vs-pumas,  ,  https--www.ligafemenil.mx-cancha-playlist-88381-veracruz-vs-pumas,  
2017-2018,Clausura,  Sábado 27 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 4-n27 Enero 2018 - 1100 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88404-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMjQ0LCJpZENsdWJ2aXNpdGEiOjExMTg2fQ==-informe-arbitral-queretaro-vs-tigres-de-la-uanl-jornada-4-estadio-la-corregidora,  3 - 2,  https--www.ligafemenil.mx-cancha-estadio-25-estadio-la-corregidora,  La Corregidora,  https--www.ligafemenil.mx-cancha-galeria-ODg0MDQvNC82OC8yLzE0-queretaro-vs-tigres-de-la-uanl,  ,  https--www.ligafemenil.mx-cancha-playlist-88404-queretaro-vs-tigres-de-la-uanl,  
2017-2018,Clausura,  Sábado 27 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 4-n27 Enero 2018 - 1630 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88408-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTgyLCJpZENsdWJ2aXNpdGEiOjExMjQ1fQ==-informe-arbitral-guadalajara-vs-atlas-jornada-4-estadio-akron,  3 - 1,  https--www.ligafemenil.mx-cancha-estadio-1538-estadio-akron,  Estadio AKRON,  https--www.ligafemenil.mx-cancha-galeria-ODg0MDgvNC82OC8yLzE0-guadalajara-vs-atlas,  ,  https--www.ligafemenil.mx-cancha-playlist-88408-guadalajara-vs-atlas,  
2017-2018,Clausura,  Domingo 28 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 4-n28 Enero 2018 - 1030 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88407-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg1LCJpZENsdWJ2aXNpdGEiOjExMTg5fQ==-informe-arbitral-rayados-de-monterrey-vs-necaxa-jornada-4-estadio-el-barrial,  8 - 0,  https--www.ligafemenil.mx-cancha-estadio-675-estadio-el-barrial,  El Barrial,  https--www.ligafemenil.mx-cancha-galeria-ODg0MDcvNC82OC8yLzE0-rayados-de-monterrey-vs-necaxa,  ,  https--www.ligafemenil.mx-cancha-playlist-88407-rayados-de-monterrey-vs-necaxa,  
2017-2018,Clausura,  Domingo 28 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 4-n28 Enero 2018 - 1800 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88357-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTkxLCJpZENsdWJ2aXNpdGEiOjExMTgxfQ==-informe-arbitral-america-vs-cruz-azul-jornada-4-estadio-azteca,  7 - 1,  https--www.ligafemenil.mx-cancha-estadio-1-estadio-azteca,  Azteca,  https--www.ligafemenil.mx-cancha-galeria-ODgzNTcvNC82OC8yLzE0-america-vs-cruz-azul,  ,  https--www.ligafemenil.mx-cancha-playlist-88357-america-vs-cruz-azul,  
2017-2018,Clausura,  Lunes 29 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 4-n29 Enero 2018 - 1600 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88376-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg3LCJpZENsdWJ2aXNpdGEiOjExMTgzfQ==-informe-arbitral-toluca-vs-m-morelia-jornada-4-estadio-nemesio-diez,  3 - 0,  https--www.ligafemenil.mx-cancha-estadio-6-estadio-nemesio-diez,  Nemesio Diez,  https--www.ligafemenil.mx-cancha-galeria-ODgzNzYvNC82OC8yLzE0-toluca-vs-m-morelia,  ,  https--www.ligafemenil.mx-cancha-playlist-88376-toluca-vs-m-morelia,  
