2024-2025,Clausura,  Miércoles 15 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 3-n15 Enero 2025 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144930-eyJpZENsdWJsb2NhbCI6MTE1NDMsImlkQ2x1YnZpc2l0YSI6MTEyNDN9-informe-arbitral-puebla-fc-vs-leon-jornada-3-estadio-cuauhtemoc-fox-sports,  1 - 2,  https--www.ligafemenil.mx-cancha-estadio-9-estadio-cuauhtemoc,  Cuauhtémoc,  https--www.ligafemenil.mx-cancha-galeria-MTQ0OTMwLzMvNzUvMi8xNA==-puebla-fc-vs-leon,  ,  https--www.ligafemenil.mx-cancha-playlist-144930-puebla-fc-vs-leon,  
2024-2025,Clausura,  Miércoles 15 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 3-n15 Enero 2025 - 2000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144931-eyJpZENsdWJsb2NhbCI6MTIwNDIsImlkQ2x1YnZpc2l0YSI6MTIwNTF9-informe-arbitral-gallos-blancos-de-queretaro-vs-mazatlan-fc-jornada-3-estadio-la-corregidora-calientemx,  3 - 1,  https--www.ligafemenil.mx-cancha-estadio-25-estadio-la-corregidora,  La Corregidora,  https--www.ligafemenil.mx-cancha-galeria-MTQ0OTMxLzMvNzUvMi8xNA==-gallos-blancos-de-queretaro-vs-mazatlan-fc,  ,  https--www.ligafemenil.mx-cancha-playlist-144931-gallos-blancos-de-queretaro-vs-mazatlan-fc,  
2024-2025,Clausura,  Jueves 16 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 3-n16 Enero 2025 - 1545 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144933-eyJpZENsdWJsb2NhbCI6MTExODksImlkQ2x1YnZpc2l0YSI6MTExOTF9-informe-arbitral-necaxa-vs-america-jornada-3-estadio-instalaciones-casa-club-necaxa-cancha-1-lmxf-tv--vix,  0 - 5,  https--www.ligafemenil.mx-cancha-estadio-2009-estadio-instalaciones-casa-club-necaxa-cancha-1,  Instalaciones Casa Club Necaxa Cancha 1,  https--www.ligafemenil.mx-cancha-galeria-MTQ0OTMzLzMvNzUvMi8xNA==-necaxa-vs-america,  ,  https--www.ligafemenil.mx-cancha-playlist-144933-necaxa-vs-america,  
2024-2025,Clausura,  Jueves 16 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 3-n16 Enero 2025 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144936-eyJpZENsdWJsb2NhbCI6MTExODYsImlkQ2x1YnZpc2l0YSI6MTEyNDV9-informe-arbitral-tigres-de-la-uanl-vs-atlas-jornada-3-estadio-universitario-fox-sports,  1 - 2,  https--www.ligafemenil.mx-cancha-estadio-12-estadio-universitario,  Universitario,  https--www.ligafemenil.mx-cancha-galeria-MTQ0OTM2LzMvNzUvMi8xNA==-tigres-de-la-uanl-vs-atlas,  ,  https--www.ligafemenil.mx-cancha-playlist-144936-tigres-de-la-uanl-vs-atlas,  
2024-2025,Clausura,  Jueves 16 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 3-n16 Enero 2025 - 2106 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144937-eyJpZENsdWJsb2NhbCI6MTExODIsImlkQ2x1YnZpc2l0YSI6MTE3OTV9-informe-arbitral-guadalajara-vs-fc-juarez-jornada-3-estadio-akron-fox-sports,  0 - 0,  https--www.ligafemenil.mx-cancha-estadio-1538-estadio-akron,  Estadio AKRON,  https--www.ligafemenil.mx-cancha-galeria-MTQ0OTM3LzMvNzUvMi8xNA==-guadalajara-vs-fc-juarez,  ,  https--www.ligafemenil.mx-cancha-playlist-144937-guadalajara-vs-fc-juarez,  
2024-2025,Clausura,  Viernes 17 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 3-n17 Enero 2025 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144939-eyJpZENsdWJsb2NhbCI6MTExODAsImlkQ2x1YnZpc2l0YSI6MTExODd9-informe-arbitral-tijuana-vs-toluca-jornada-3-estadio-caliente-calientemx,  3 - 1,  https--www.ligafemenil.mx-cancha-estadio-48-estadio-caliente,  Caliente,  https--www.ligafemenil.mx-cancha-galeria-MTQ0OTM5LzMvNzUvMi8xNA==-tijuana-vs-toluca,  ,  https--www.ligafemenil.mx-cancha-playlist-144939-tijuana-vs-toluca,  
2024-2025,Clausura,  Domingo 19 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 4-n19 Enero 2025 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144945-eyJpZENsdWJsb2NhbCI6MTExODUsImlkQ2x1YnZpc2l0YSI6MTE1NDN9-informe-arbitral-rayados-de-monterrey-vs-puebla-fc-jornada-4-estadio-bbva-lmxf-tv--vix,  5 - 1,  https--www.ligafemenil.mx-cancha-estadio-1608-estadio-bbva,  Estadio BBVA,  https--www.ligafemenil.mx-cancha-galeria-MTQ0OTQ1LzQvNzUvMi8xNA==-rayados-de-monterrey-vs-puebla-fc,  ,  https--www.ligafemenil.mx-cancha-playlist-144945-rayados-de-monterrey-vs-puebla-fc,  
2024-2025,Clausura,  Domingo 19 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 4-n19 Enero 2025 - 2000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144946-eyJpZENsdWJsb2NhbCI6MTIwNTEsImlkQ2x1YnZpc2l0YSI6MTExODR9-informe-arbitral-mazatlan-fc-vs-pachuca-jornada-4-estadio-el-encanto-fox-sports,  0 - 2,  https--www.ligafemenil.mx-cancha-estadio-1931-estadio-el-encanto,  El Encanto,  https--www.ligafemenil.mx-cancha-galeria-MTQ0OTQ2LzQvNzUvMi8xNA==-mazatlan-fc-vs-pachuca,  ,  https--www.ligafemenil.mx-cancha-playlist-144946-mazatlan-fc-vs-pachuca,  
2024-2025,Clausura,  Lunes 20 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 4-n20 Enero 2025 - 1630 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144951-eyJpZENsdWJsb2NhbCI6MTEyNDMsImlkQ2x1YnZpc2l0YSI6MTExODZ9-informe-arbitral-leon-vs-tigres-de-la-uanl-jornada-4-estadio-nou-camp-tbd,  2 - 2,  https--www.ligafemenil.mx-cancha-estadio-23-estadio-nou-camp,  Nou Camp,  https--www.ligafemenil.mx-cancha-galeria-MTQ0OTUxLzQvNzUvMi8xNA==-leon-vs-tigres-de-la-uanl,  ,  https--www.ligafemenil.mx-cancha-playlist-144951-leon-vs-tigres-de-la-uanl,  
2024-2025,Clausura,  Lunes 20 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 4-n20 Enero 2025 - 1545 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144955-eyJpZENsdWJsb2NhbCI6MTE3OTUsImlkQ2x1YnZpc2l0YSI6MTExODh9-informe-arbitral-fc-juarez-vs-pumas-jornada-4-estadio-olimpico-benito-juarez-nh,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-17-estadio-olimpico-benito-juarez,  Olímpico Benito Juárez,  https--www.ligafemenil.mx-cancha-galeria-MTQ0OTU1LzQvNzUvMi8xNA==-fc-juarez-vs-pumas,  ,  https--www.ligafemenil.mx-cancha-playlist-144955-fc-juarez-vs-pumas,  
