2020-2021,Clausura,  Lunes 25 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 3-n25 Enero 2021 - 1545 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119248-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg3LCJpZENsdWJ2aXNpdGEiOjEyMDQyfQ==-informe-arbitral-toluca-vs-gallos-blancos-de-queretaro-jornada-3-estadio-instalaciones-metepec-cancha-2-tudn,  1 - 0,  https--www.ligafemenil.mx-cancha-estadio-1547-estadio-instalaciones-metepec-cancha-2,  Instalaciones Metepec Cancha 2,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjQ4LzMvNzEvMi8xNA==-toluca-vs-gallos-blancos-de-queretaro,  ,  https--www.ligafemenil.mx-cancha-playlist-119248-toluca-vs-gallos-blancos-de-queretaro,  
2020-2021,Clausura,  Lunes 25 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 3-n25 Enero 2021 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119249-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTgyLCJpZENsdWJ2aXNpdGEiOjExMTkyfQ==-informe-arbitral-guadalajara-vs-santos-laguna-jornada-3-estadio-akron-fox-sports,  2 - 0,  https--www.ligafemenil.mx-cancha-estadio-1538-estadio-akron,  Estadio AKRON,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjQ5LzMvNzEvMi8xNA==-guadalajara-vs-santos-laguna,  ,  https--www.ligafemenil.mx-cancha-playlist-119249-guadalajara-vs-santos-laguna,  
2020-2021,Clausura,  Lunes 25 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 3-n25 Enero 2021 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119250-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg2LCJpZENsdWJ2aXNpdGEiOjExNTQzfQ==-informe-arbitral-tigres-de-la-uanl-vs-puebla-fc-jornada-3-estadio-universitario-tudn,  2 - 1,  https--www.ligafemenil.mx-cancha-estadio-12-estadio-universitario,  Universitario,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjUwLzMvNzEvMi8xNA==-tigres-de-la-uanl-vs-puebla-fc,  ,  https--www.ligafemenil.mx-cancha-playlist-119250-tigres-de-la-uanl-vs-puebla-fc,  
2020-2021,Clausura,  Lunes 25 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 3-n25 Enero 2021 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119251-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTgwLCJpZENsdWJ2aXNpdGEiOjExMjQ1fQ==-informe-arbitral-tijuana-vs-atlas-jornada-3-estadio-caliente-fox-sports,  0 - 1,  https--www.ligafemenil.mx-cancha-estadio-48-estadio-caliente,  Caliente,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjUxLzMvNzEvMi8xNA==-tijuana-vs-atlas,  ,  https--www.ligafemenil.mx-cancha-playlist-119251-tijuana-vs-atlas,  
2020-2021,Clausura,  Lunes 25 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 3-n25 Enero 2021 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119252-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMjQzLCJpZENsdWJ2aXNpdGEiOjExMTg5fQ==-informe-arbitral-leon-vs-necaxa-jornada-3-estadio-nou-camp,  2 - 1,  https--www.ligafemenil.mx-cancha-estadio-23-estadio-nou-camp,  Nou Camp,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjUyLzMvNzEvMi8xNA==-leon-vs-necaxa,  ,  https--www.ligafemenil.mx-cancha-playlist-119252-leon-vs-necaxa,  
2020-2021,Clausura,  Viernes 29 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 4-n29 Enero 2021 - 1545 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119253-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg5LCJpZENsdWJ2aXNpdGEiOjExMTg4fQ==-informe-arbitral-necaxa-vs-pumas-jornada-4-estadio-victoria-claro-sports,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-708-estadio-victoria,  Victoria,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjUzLzQvNzEvMi8xNA==-necaxa-vs-pumas,  ,  https--www.ligafemenil.mx-cancha-playlist-119253-necaxa-vs-pumas,  
2020-2021,Clausura,  Sábado 30 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 4-n30 Enero 2021 - 1000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119254-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMjQ1LCJpZENsdWJ2aXNpdGEiOjExMjQzfQ==-informe-arbitral-atlas-vs-leon-jornada-4-estadio-colomos-tvc-deportes,  2 - 1,  https--www.ligafemenil.mx-cancha-estadio-109-estadio-colomos,  Colomos,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjU0LzQvNzEvMi8xNA==-atlas-vs-leon,  ,  https--www.ligafemenil.mx-cancha-playlist-119254-atlas-vs-leon,  
2020-2021,Clausura,  Sábado 30 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 4-n30 Enero 2021 - 1100 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119255-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExNzk1LCJpZENsdWJ2aXNpdGEiOjEyMDUxfQ==-informe-arbitral-fc-juarez-vs-mazatlan-fc-jornada-4-estadio-olimpico-benito-juarez-tudn,  0 - 1,  https--www.ligafemenil.mx-cancha-estadio-17-estadio-olimpico-benito-juarez,  Olímpico Benito Juárez,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjU1LzQvNzEvMi8xNA==-fc-juarez-vs-mazatlan-fc,  ,  https--www.ligafemenil.mx-cancha-playlist-119255-fc-juarez-vs-mazatlan-fc,  
2020-2021,Clausura,  Domingo 31 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 4-n31 Enero 2021 - 1030 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119256-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg1LCJpZENsdWJ2aXNpdGEiOjEyMDQyfQ==-informe-arbitral-rayados-de-monterrey-vs-gallos-blancos-de-queretaro-jornada-4-estadio-el-barrial,  2 - 0,  https--www.ligafemenil.mx-cancha-estadio-675-estadio-el-barrial,  El Barrial,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjU2LzQvNzEvMi8xNA==-rayados-de-monterrey-vs-gallos-blancos-de-queretaro,  ,  https--www.ligafemenil.mx-cancha-playlist-119256-rayados-de-monterrey-vs-gallos-blancos-de-queretaro,  
2020-2021,Clausura,  Domingo 31 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 4-n31 Enero 2021 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119257-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExNTQzLCJpZENsdWJ2aXNpdGEiOjExMTgxfQ==-informe-arbitral-puebla-fc-vs-cruz-azul-jornada-4-estadio-cuauhtemoc-tvc-deportes,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-9-estadio-cuauhtemoc,  Cuauhtémoc,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjU3LzQvNzEvMi8xNA==-puebla-fc-vs-cruz-azul,  ,  https--www.ligafemenil.mx-cancha-playlist-119257-puebla-fc-vs-cruz-azul,  
