2019-2020,Apertura,  Lunes 29 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 3-n29 Julio 2019 - 1000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99087-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg1LCJpZENsdWJ2aXNpdGEiOjExMTg3fQ==-informe-arbitral-rayados-de-monterrey-vs-toluca-jornada-3-estadio-el-barrial,  4 - 0,  https--www.ligafemenil.mx-cancha-estadio-675-estadio-el-barrial,  El Barrial,  https--www.ligafemenil.mx-cancha-galeria-OTkwODcvMy83MC8xLzE0-rayados-de-monterrey-vs-toluca,  ,  https--www.ligafemenil.mx-cancha-playlist-99087-rayados-de-monterrey-vs-toluca,  
2019-2020,Apertura,  Lunes 29 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 3-n29 Julio 2019 - 1600 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99064-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTgzLCJpZENsdWJ2aXNpdGEiOjExNzk1fQ==-informe-arbitral-m-morelia-vs-fc-juarez-jornada-3-estadio-jose-maria-morelos-y-pavon-am,  2 - 1,  https--www.ligafemenil.mx-cancha-estadio-10-estadio-jose-maria-morelos-y-pavon,  José María Morelos y Pavón,  https--www.ligafemenil.mx-cancha-galeria-OTkwNjQvMy83MC8xLzE0-m-morelia-vs-fc-juarez,  ,  https--www.ligafemenil.mx-cancha-playlist-99064-m-morelia-vs-fc-juarez,  
2019-2020,Apertura,  Lunes 29 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 3-n29 Julio 2019 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99068-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMjQyLCJpZENsdWJ2aXNpdGEiOjExMjQ1fQ==-informe-arbitral-veracruz-vs-atlas-jornada-3-estadio-luis-pirata-fuente-tibuvision,  2 - 0,  https--www.ligafemenil.mx-cancha-estadio-57-estadio-luis-pirata-fuente,  Luis Pirata Fuente,  https--www.ligafemenil.mx-cancha-galeria-OTkwNjgvMy83MC8xLzE0-veracruz-vs-atlas,  ,  https--www.ligafemenil.mx-cancha-playlist-99068-veracruz-vs-atlas,  
2019-2020,Apertura,  Lunes 29 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 3-n29 Julio 2019 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99073-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMjQzLCJpZENsdWJ2aXNpdGEiOjExMTgxfQ==-informe-arbitral-leon-vs-cruz-azul-jornada-3-estadio-nou-camp-fox-sports,  0 - 2,  https--www.ligafemenil.mx-cancha-estadio-23-estadio-nou-camp,  Nou Camp,  https--www.ligafemenil.mx-cancha-galeria-OTkwNzMvMy83MC8xLzE0-leon-vs-cruz-azul,  ,  https--www.ligafemenil.mx-cancha-playlist-99073-leon-vs-cruz-azul,  
2019-2020,Apertura,  Lunes 29 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 3-n29 Julio 2019 - 2000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99076-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExNzc4LCJpZENsdWJ2aXNpdGEiOjExMTkxfQ==-informe-arbitral-club-atletico-de-san-luis-vs-america-jornada-3-estadio-alfonso-lastras-ramirez,  0 - 0,  https--www.ligafemenil.mx-cancha-estadio-14-estadio-alfonso-lastras-ramirez,  Alfonso Lastras Ramírez,  https--www.ligafemenil.mx-cancha-galeria-OTkwNzYvMy83MC8xLzE0-club-atletico-de-san-luis-vs-america,  ,  https--www.ligafemenil.mx-cancha-playlist-99076-club-atletico-de-san-luis-vs-america,  
2019-2020,Apertura,  Lunes 29 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 3-n29 Julio 2019 - 2100 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99081-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTkyLCJpZENsdWJ2aXNpdGEiOjExMTg2fQ==-informe-arbitral-santos-laguna-vs-tigres-de-la-uanl-jornada-3-estadio-tsm-corona-fox-sports,  2 - 2,  https--www.ligafemenil.mx-cancha-estadio-63-estadio-tsm-corona,  TSM Corona,  https--www.ligafemenil.mx-cancha-galeria-OTkwODEvMy83MC8xLzE0-santos-laguna-vs-tigres-de-la-uanl,  ,  https--www.ligafemenil.mx-cancha-playlist-99081-santos-laguna-vs-tigres-de-la-uanl,  
2019-2020,Apertura,  Viernes 2 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 4-n2 Agosto 2019 - 1600 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99094-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMjQ0LCJpZENsdWJ2aXNpdGEiOjExMTkyfQ==-informe-arbitral-queretaro-vs-santos-laguna-jornada-4-estadio-la-corregidora-tvc-deportes,  1 - 0,  https--www.ligafemenil.mx-cancha-estadio-25-estadio-la-corregidora,  La Corregidora,  https--www.ligafemenil.mx-cancha-galeria-OTkwOTQvNC83MC8xLzE0-queretaro-vs-santos-laguna,  ,  https--www.ligafemenil.mx-cancha-playlist-99094-queretaro-vs-santos-laguna,  
2019-2020,Apertura,  Viernes 2 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 4-n2 Agosto 2019 - 1600 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99096-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTgxLCJpZENsdWJ2aXNpdGEiOjExMTgzfQ==-informe-arbitral-cruz-azul-vs-m-morelia-jornada-4-estadio-10-de-diciembre-univision-tdn,  2 - 1,  https--www.ligafemenil.mx-cancha-estadio-30-estadio-10-de-diciembre,  10 de Diciembre,  https--www.ligafemenil.mx-cancha-galeria-OTkwOTYvNC83MC8xLzE0-cruz-azul-vs-m-morelia,  ,  https--www.ligafemenil.mx-cancha-playlist-99096-cruz-azul-vs-m-morelia,  
2019-2020,Apertura,  Viernes 2 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 4-n2 Agosto 2019 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99130-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExNzk1LCJpZENsdWJ2aXNpdGEiOjExNzc4fQ==-informe-arbitral-fc-juarez-vs-club-atletico-de-san-luis-jornada-4-estadio-olimpico-benito-juarez-tudn,  0 - 0,  https--www.ligafemenil.mx-cancha-estadio-17-estadio-olimpico-benito-juarez,  Olímpico Benito Juárez,  https--www.ligafemenil.mx-cancha-galeria-OTkxMzAvNC83MC8xLzE0-fc-juarez-vs-club-atletico-de-san-luis,  ,  https--www.ligafemenil.mx-cancha-playlist-99130-fc-juarez-vs-club-atletico-de-san-luis,  
2019-2020,Apertura,  Domingo 4 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 4-n4 Agosto 2019 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99108-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTgyLCJpZENsdWJ2aXNpdGEiOjExNTQzfQ==-informe-arbitral-guadalajara-vs-puebla-fc-jornada-4-estadio-verde-valle-2-chivas-tv,  1 - 0,  https--www.ligafemenil.mx-cancha-estadio-1554-estadio-verde-valle-2,  Verde Valle 2,  https--www.ligafemenil.mx-cancha-galeria-OTkxMDgvNC83MC8xLzE0-guadalajara-vs-puebla-fc,  ,  https--www.ligafemenil.mx-cancha-playlist-99108-guadalajara-vs-puebla-fc,  
