Pos,Jugador,Club,G,MJ,ANOTA CADA,NACIONALIDAD
114º,Greta Alejandra Espinoza,Tigres,1,1119,1119.00 min,Mexicano
115º,Rebekah Alysee Valdez,América,1,11,11.00 min,Mexicano
116º,Alexa Soto,América,1,82,82.00 min,Mexicano
117º,Nancy Guadalupe Antonio,América,1,1110,1110.00 min,Mexicano
118º,Abril Anahí Fragoso,Pachuca,1,33,33.00 min,Mexicano
119º,Shanice Janice Van De Sanden,Pachuca,1,550,550.00 min,Neerlandés
120º,Amanda Araceli Pérez,Pachuca,1,721,721.00 min,Mexicano
121º,Alice Fernanda Soto,Pachuca,1,818,818.00 min,Mexicano
122º,Alexandra Guadalupe Godínez,Pachuca,1,956,956.00 min,Mexicano
123º,Yirleidis Quejada,Pachuca,1,1153,1153.00 min,Colombiano
124º,Daniela Frank Flores,Pachuca,1,1233,1233.00 min,Mexicano
125º,Vaitiare Kenti Robles,Pachuca,1,1366,1366.00 min,Mexicano
126º,Blanca María Solís,FC Juárez,1,148,148.00 min,Mexicano
127º,Mónica Desiree Monsiváis,FC Juárez,1,173,173.00 min,Mexicano
128º,Eva Beatriz González,FC Juárez,1,353,353.00 min,Mexicano
129º,Amalia Phoebe López,Guadalajara,1,102,102.00 min,Mexicano
130º,Kristal Rubi Soto,Guadalajara,1,232,232.00 min,Mexicano
131º,Yamile Azenek Franco,Guadalajara,1,424,424.00 min,Mexicano
132º,Angélica Araceli Torres,Guadalajara,1,1163,1163.00 min,Mexicano
133º,Diana Jaqueline Rodríguez,Guadalajara,1,1318,1318.00 min,Mexicano
134º,Camila Vite,Pumas,1,114,114.00 min,Mexicano
135º,Dania Belén Padilla,Pumas,1,989,989.00 min,Mexicano
136º,Karen Becerril,Pumas,1,1038,1038.00 min,Mexicano
137º,Carina Felipe,Pumas,1,1332,1332.00 min,Uruguayo
138º,Paola Chavero,Pumas,1,1350,1350.00 min,Mexicano
139º,Celia Chainez Bensalem,Toluca,1,336,336.00 min,Francés
140º,Liliana Rodríguez,Toluca,1,627,627.00 min,Mexicano
141º,Diana Paola Monroy,Toluca,1,796,796.00 min,Mexicano
142º,Brenda Vega,Toluca,1,1038,1038.00 min,Mexicano
143º,Mitsy Nayelli Ramirez,Toluca,1,1228,1228.00 min,Mexicano
144º,Claudia Fernanda Cid,Tijuana,1,127,127.00 min,Mexicano
145º,Iraida Guadalupe Fernández,Tijuana,1,223,223.00 min,Mexicano
146º,Nathaly Sofía Martínez,Tijuana,1,452,452.00 min,Mexicano
147º,Fabiola Villalobos,Tijuana,1,467,467.00 min,Costarricense
148º,Andrea González,Tijuana,1,548,548.00 min,Mexicano
149º,Ammanda Mariee Marroquin,Tijuana,1,1100,1100.00 min,Mexicano
