Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13
2024-2025,Apertura,"Viernes 30 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 8
30 Agosto 2024 - 16:15 hrs.",,1 - 0,,Caliente,,,,,,
2024-2025,Apertura,"Domingo 1 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 8
1 Septiembre 2024 - 12:00 hrs.",,2 - 2,,Cuauhtémoc,,,,,,
2024-2025,Apertura,"Domingo 1 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 8
1 Septiembre 2024 - 12:00 hrs.",,2 - 2,,Ciudad De Los Deportes,,,,,,
2024-2025,Apertura,"Domingo 1 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 8
1 Septiembre 2024 - 17:00 hrs.",,7 - 0,,Hidalgo,,,,,,
2024-2025,Apertura,"Domingo 1 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 8
1 Septiembre 2024 - 19:06 hrs.",,1 - 0,,Universitario,,,,,,
2024-2025,Apertura,"Lunes 2 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 8
2 Septiembre 2024 - 16:30 hrs.",,2 - 0,,Nemesio Diez,,,,,,
2024-2025,Apertura,"Lunes 2 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 8
2 Septiembre 2024 - 17:00 hrs.",,1 - 3,,Estadio Olímpico Alameda,,,,,,
2024-2025,Apertura,"Martes 3 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 8
3 Septiembre 2024 - 15:45 hrs.",,1 - 1,,INSTALACIONES LA NORIA,,,,,,
2024-2025,Apertura,"Martes 3 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 8
3 Septiembre 2024 - 19:00 hrs.",,1 - 0,,Jalisco,,,,,,
2024-2025,Apertura,"Miércoles 4 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 4
4 Septiembre 2024 - 20:06 hrs.",,0 - 2,,El Encanto,,,,,,
2024-2025,Apertura,"Viernes 6 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 9
6 Septiembre 2024 - 19:00 hrs.",,0 - 2,,TSM Corona,,,,,,
2024-2025,Apertura,"Sábado 7 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 9
7 Septiembre 2024 - 11:40 hrs.",,4 - 2,,Olímpico Universitario,,,,,,
2024-2025,Apertura,"Sábado 7 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 9
7 Septiembre 2024 - 17:00 hrs.",,1 - 0,,Nemesio Diez,,,,,,
2024-2025,Apertura,"Sábado 7 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 9
7 Septiembre 2024 - 19:25 hrs.",,0 - 0,,Olímpico Benito Juárez,,,,,,
2024-2025,Apertura,"Domingo 8 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 9
8 Septiembre 2024 - 15:45 hrs.",,3 - 1,,Verde Valle 2,,,,,,
2024-2025,Apertura,"Domingo 8 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 9
8 Septiembre 2024 - 19:00 hrs.",,4 - 3,,Nou Camp,,,,,,
2024-2025,Apertura,"Domingo 8 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 9
8 Septiembre 2024 - 19:30 hrs.",,1 - 0,,Estadio BBVA,,,,,,
2024-2025,Apertura,"Domingo 8 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 9
8 Septiembre 2024 - 20:06 hrs.",,1 - 8,,El Encanto,,,,,,
2024-2025,Apertura,"Lunes 9 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 9
9 Septiembre 2024 - 17:00 hrs.",,1 - 2,,Alfonso Lastras Ramírez,,,,,,
2024-2025,Apertura,"Jueves 12 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 10
12 Septiembre 2024 - 19:00 hrs.",,1 - 1,,Jalisco,,,,,,
2024-2025,Apertura,"Viernes 13 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 10
13 Septiembre 2024 - 16:30 hrs.",,2 - 1,,Estadio Olímpico Alameda,,,,,,
2024-2025,Apertura,"Sábado 14 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 10
14 Septiembre 2024 - 12:00 hrs.",,2 - 0,,INSTALACIONES LA NORIA,,,,,,
2024-2025,Apertura,"Sábado 14 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 10
14 Septiembre 2024 - 21:00 hrs.",,0 - 0,,Universitario,,,,,,
2024-2025,Apertura,"Domingo 15 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 10
15 Septiembre 2024 - 17:00 hrs.",,7 - 0,,Ciudad De Los Deportes,,,,,,
2024-2025,Apertura,"Domingo 15 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 10
15 Septiembre 2024 - 17:00 hrs.",,3 - 1,,Cuauhtémoc,,,,,,
2024-2025,Apertura,"Domingo 15 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 10
15 Septiembre 2024 - 19:06 hrs.",,3 - 0,,Hidalgo,,,,,,
2024-2025,Apertura,"Domingo 15 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 10
15 Septiembre 2024 - 20:10 hrs.",,5 - 1,,Caliente,,,,,,
2024-2025,Apertura,"Lunes 16 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 10
16 Septiembre 2024 - 17:00 hrs.",,0 - 2,,Victoria,,,,,,
2024-2025,Apertura,"Jueves 19 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 3
19 Septiembre 2024 - 20:06 hrs.",,1 - 2,,Estadio AKRON,,,,,,
2024-2025,Apertura,"Viernes 20 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 11
20 Septiembre 2024 - 17:00 hrs.",,0 - 0,,Olímpico Universitario,,,,,,
2024-2025,Apertura,"Viernes 20 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 11
20 Septiembre 2024 - 19:00 hrs.",,2 - 1,,TSM Corona,,,,,,
2024-2025,Apertura,"Sábado 21 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 11
21 Septiembre 2024 - 19:06 hrs.",,1 - 0,,Olímpico Benito Juárez,,,,,,
2024-2025,Apertura,"Domingo 22 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 11
22 Septiembre 2024 - 17:00 hrs.",,2 - 1,,Alfonso Lastras Ramírez,,,,,,
2024-2025,Apertura,"Domingo 22 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 11
22 Septiembre 2024 - 17:05 hrs.",,3 - 3,,Jalisco,,,,,,
2024-2025,Apertura,"Domingo 22 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 11
22 Septiembre 2024 - 20:10 hrs.",,0 - 1,,Caliente,,,,,,
2024-2025,Apertura,"Domingo 22 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 11
22 Septiembre 2024 - 20:15 hrs.",,0 - 2,,El Encanto,,,,,,
2024-2025,Apertura,"Lunes 23 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 11
23 Septiembre 2024 - 17:00 hrs.",,2 - 0,,Nemesio Diez,,,,,,
2024-2025,Apertura,"Lunes 23 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 11
23 Septiembre 2024 - 19:00 hrs.",,2 - 4,,Estadio BBVA,,,,,,
2024-2025,Apertura,"Jueves 26 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 12
26 Septiembre 2024 - 15:45 hrs.",,2 - 0,,Cancha Centenario No. 5 (Natural) Instalaciones Club América,,,,,,
2024-2025,Apertura,"Jueves 26 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 12
26 Septiembre 2024 - 17:00 hrs.",,0 - 2,,Estadio Olímpico Alameda,,,,,,
2024-2025,Apertura,"Jueves 26 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 12
26 Septiembre 2024 - 19:00 hrs.",,3 - 1,,Olímpico Universitario,,,,,,
2024-2025,Apertura,"Jueves 26 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 12
26 Septiembre 2024 - 19:06 hrs.",,2 - 0,,Hidalgo,,,,,,
2024-2025,Apertura,"Jueves 26 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 12
26 Septiembre 2024 - 21:10 hrs.",,2 - 0,,Universitario,,,,,,
2024-2025,Apertura,"Viernes 27 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 12
27 Septiembre 2024 - 17:00 hrs.",,1 - 4,,Victoria,,,,,,
2024-2025,Apertura,"Viernes 27 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 12
27 Septiembre 2024 - 17:00 hrs.",,3 - 0,,Jalisco,,,,,,
