Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13
2024-2025,Clausura,"Jueves 13 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 12
13 Marzo 2025 - 18:00 hrs.",,- - -,,Victoria,,,,,,
2024-2025,Clausura,"Jueves 13 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 12
13 Marzo 2025 - 19:00 hrs.",,- - -,,Jalisco,,,,,,
2024-2025,Clausura,"Jueves 13 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 12
13 Marzo 2025 - 20:00 hrs.",,- - -,,Caliente,,,,,,
2024-2025,Clausura,"Viernes 14 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 12
14 Marzo 2025 - 18:00 hrs.",,- - -,,El Encanto,,,,,,
2024-2025,Clausura,"Viernes 14 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 12
14 Marzo 2025 - 21:06 hrs.",,- - -,,Universitario,,,,,,
2024-2025,Clausura,"Domingo 16 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 13
16 Marzo 2025 - 12:00 hrs.",,- - -,,Cuauhtémoc,,,,,,
2024-2025,Clausura,"Domingo 16 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 13
16 Marzo 2025 - 18:00 hrs.",,- - -,,Olímpico Benito Juárez,,,,,,
2024-2025,Clausura,"Lunes 17 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 13
17 Marzo 2025 - 16:00 hrs.",,- - -,,Olímpico Universitario,,,,,,
2024-2025,Clausura,"Lunes 17 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 13
17 Marzo 2025 - 19:00 hrs.",,- - -,,Universitario,,,,,,
2024-2025,Clausura,"Lunes 17 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 13
17 Marzo 2025 - 21:06 hrs.",,- - -,,Nou Camp,,,,,,
2024-2025,Clausura,"Martes 18 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 13
18 Marzo 2025 - 17:00 hrs.",,- - -,,Alfonso Lastras Ramírez,,,,,,
2024-2025,Clausura,"Martes 18 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 13
18 Marzo 2025 - 19:00 hrs.",,- - -,,Jalisco,,,,,,
2024-2025,Clausura,"Martes 18 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 13
18 Marzo 2025 - 21:00 hrs.",,- - -,,TSM Corona,,,,,,
2024-2025,Clausura,"Jueves 20 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 14
20 Marzo 2025 - 17:00 hrs.",,- - -,,Hidalgo,,,,,,
2024-2025,Clausura,"Viernes 21 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 14
21 Marzo 2025 - 20:00 hrs.",,- - -,,Caliente,,,,,,
2024-2025,Clausura,"Sábado 22 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 14
22 Marzo 2025 - 15:45 hrs.",,- - -,,Instalaciones la Noria Cancha 1,,,,,,
2024-2025,Clausura,"Sábado 22 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 14
22 Marzo 2025 - 18:00 hrs.",,- - -,,Victoria,,,,,,
2024-2025,Clausura,"Sábado 22 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 14
22 Marzo 2025 - 20:10 hrs.",,- - -,,Ciudad De Los Deportes,,,,,,
2024-2025,Clausura,"Domingo 23 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 14
23 Marzo 2025 - 12:00 hrs.",,- - -,,Cuauhtémoc,,,,,,
2024-2025,Clausura,"Domingo 23 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 14
23 Marzo 2025 - 19:06 hrs.",,- - -,,Estadio AKRON,,,,,,
2024-2025,Clausura,"Lunes 24 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 14
24 Marzo 2025 - 18:00 hrs.",,- - -,,Estadio Olímpico Alameda,,,,,,
2024-2025,Clausura,"Lunes 24 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 15
24 Marzo 2025 - 18:05 hrs.",,- - -,,Caliente,,,,,,
2024-2025,Clausura,"Lunes 24 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 14
24 Marzo 2025 - 20:00 hrs.",,- - -,,Estadio BBVA,,,,,,
2024-2025,Clausura,"Viernes 28 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 15
28 Marzo 2025 - 15:45 hrs.",,- - -,,Instalaciones la Noria Cancha 1,,,,,,
2024-2025,Clausura,"Viernes 28 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 15
28 Marzo 2025 - 17:00 hrs.",,- - -,,El Encanto,,,,,,
2024-2025,Clausura,"Viernes 28 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 15
28 Marzo 2025 - 20:00 hrs.",,- - -,,TSM Corona,,,,,,
