Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2022-2023,Clausura,66º,Deiry Loreli Ramírez,Tigres,2,119
2022-2023,Clausura,67º,Riley Grace Mattingly,Tigres,2,219
2022-2023,Clausura,68º,Nancy Guadalupe Antonio,Tigres,2,663
2022-2023,Clausura,69º,Kinberly Paloma Guzmán,Guadalajara,2,476
2022-2023,Clausura,70º,Lizbeth Ángeles,Pachuca,2,694
2022-2023,Clausura,71º,Marta Alexandra Cox Villarreal,Pachuca,2,877
2022-2023,Clausura,72º,Janelly Farias,Pachuca,2,1062
2022-2023,Clausura,73º,Karen Andrea García,Atlas,2,666
2022-2023,Clausura,74º,Alejandra Franco,Atlas,2,705
2022-2023,Clausura,75º,Marcia Paola García,Atlas,2,767
2022-2023,Clausura,76º,Alejandra Lomelí,Atlas,2,882
2022-2023,Clausura,77º,Paola Chavero,Pumas,2,1031
2022-2023,Clausura,78º,María Fernanda Sánchez,Toluca,2,519
2022-2023,Clausura,79º,Vanessa Maria Penuna,Toluca,2,795
2022-2023,Clausura,80º,Liliana Rodríguez,Toluca,2,1242
2022-2023,Clausura,81º,Briana Elizabeth Woodall,León,2,839
2022-2023,Clausura,82º,Deisy Estefania Ojeda,Querétaro,2,1259
2022-2023,Clausura,83º,Jazmín Enrigue,Querétaro,2,1530
2022-2023,Clausura,84º,Estefania Izaguirre,Atlético de San Luis,2,487
2022-2023,Clausura,85º,Joana Robles,Atlético de San Luis,2,1476
2022-2023,Clausura,86º,Julissa Fernanda Dávila,Atlético de San Luis,2,1530
2022-2023,Clausura,87º,Daniela Janet Monroy,Cruz Azul,2,1114
2022-2023,Clausura,88º,Daniela Frank Flores,Cruz Azul,2,1152
2022-2023,Clausura,89º,Dalia Isabel Molina,Cruz Azul,2,1336
2022-2023,Clausura,90º,Rebeca Villuendas,Puebla,2,568
2022-2023,Clausura,91º,María Elena Sainz,Puebla,2,1525
2022-2023,Clausura,92º,Saira Cecilia López,Necaxa,2,1024
2022-2023,Clausura,93º,Samantha Kassandra Calvillo,Necaxa,2,1393
2022-2023,Clausura,94º,Olga Anahí Trasviña,Mazatlán FC,2,1009
2022-2023,Clausura,95º,Mónica Desiree Monsiváis,Rayadas,1,137
2022-2023,Clausura,96º,Fátima Servín,Rayadas,1,352
2022-2023,Clausura,97º,Mónica Irina Flores,Rayadas,1,435
2022-2023,Clausura,98º,Valeria Valdez,Rayadas,1,500
2022-2023,Clausura,99º,Karol Esthefany Bernal,Rayadas,1,1052
2022-2023,Clausura,100º,Betzy Casandra Cuevas,América,1,610
2022-2023,Clausura,101º,Eva Beatriz González,América,1,882
2022-2023,Clausura,102º,Sabrina Marie Enciso,América,1,956
2022-2023,Clausura,103º,Karen Irasema Luna,América,1,1036
2022-2023,Clausura,104º,Casandra Montero,Guadalajara,1,1521
2022-2023,Clausura,105º,Mariana Munguía,Pachuca,1,12
2022-2023,Clausura,106º,Julia Yareli Valadez,Pachuca,1,128
2022-2023,Clausura,107º,Vanessa Beatriz Millsaps,Pachuca,1,249
2022-2023,Clausura,108º,Jillian June Khaterine Jennings,Pachuca,1,554
2022-2023,Clausura,109º,Karen Alejandra Díaz,Pachuca,1,750
2022-2023,Clausura,110º,Mónica Ocampo,Pachuca,1,1092
2022-2023,Clausura,111º,Karla Paola Nieto,Pachuca,1,1504
2022-2023,Clausura,112º,Sumiko Gutiérrez,FC Juárez,1,947
2022-2023,Clausura,113º,María Andrea Sánchez,FC Juárez,1,1102
2022-2023,Clausura,114º,Andrea Hernández,FC Juárez,1,1530
2022-2023,Clausura,115º,Zellyka Guadalupe Arce,Atlas,1,1129
2022-2023,Clausura,116º,Connie Elizabeth Caliz,Tijuana,1,273
2022-2023,Clausura,117º,Dulce Maria Alvarado,Tijuana,1,640
2022-2023,Clausura,118º,Verónica Raquel Pérez,Tijuana,1,983
2022-2023,Clausura,119º,Mónica Rose Alvarado,Tijuana,1,1168
2022-2023,Clausura,120º,Chandra Marie Eigenberger,Pumas,1,121
2022-2023,Clausura,121º,Lucia Rodríguez,Pumas,1,148
2022-2023,Clausura,122º,Daniela Itzaxaya García,Pumas,1,211
2022-2023,Clausura,123º,Samantha López,Pumas,1,465
2022-2023,Clausura,124º,Dirce Delgado,Pumas,1,1530
2022-2023,Clausura,125º,Lucero Ximena Cuevas,León,1,295
2022-2023,Clausura,126º,Linda Ruth Bravo,León,1,901
2022-2023,Clausura,127º,Madeleine Pasco,León,1,973
2022-2023,Clausura,128º,Alondra Karime Camargo,Querétaro,1,537
2022-2023,Clausura,129º,Daniela Sánchez,Querétaro,1,829
2022-2023,Clausura,130º,Fátima Del Carmen Delgado,Querétaro,1,918
2022-2023,Clausura,131º,Edna Fabiola Santamaria,Querétaro,1,1369
2022-2023,Clausura,132º,Denisse Alejandra Rivera,Atlético de San Luis,1,352
2022-2023,Clausura,133º,Mariela García,Atlético de San Luis,1,765
2022-2023,Clausura,134º,Karen Lizbeth Cano,Atlético de San Luis,1,900
2022-2023,Clausura,135º,Desarae Nicolé Félix,Santos Laguna,1,625
2022-2023,Clausura,136º,Sheila Odeth Pulido,Santos Laguna,1,1344
2022-2023,Clausura,137º,Alexxandra Ramírez,Santos Laguna,1,1505
2022-2023,Clausura,138º,Ana Gabriela Huerta,Cruz Azul,1,497
2022-2023,Clausura,139º,Cori Michelle Sullivan,Cruz Azul,1,658
2022-2023,Clausura,140º,Claudia Fernanda Cid,Cruz Azul,1,834
2022-2023,Clausura,141º,Renata Fernanda Huerta,Cruz Azul,1,856
2022-2023,Clausura,142º,Alexia Fernanda Delgado,Cruz Azul,1,985
2022-2023,Clausura,143º,Ana Gabriela Lozada,Cruz Azul,1,997
2022-2023,Clausura,144º,Karime Abud,Cruz Azul,1,1114
2022-2023,Clausura,145º,María Alejandra Peraza,Cruz Azul,1,1503
2022-2023,Clausura,146º,Marisol Luna,Puebla,1,254
2022-2023,Clausura,147º,Fátima Guadalupe Bracamonte,Puebla,1,333
2022-2023,Clausura,148º,Daniela Auza,Puebla,1,969
2022-2023,Clausura,149º,Camila Fonseca,Puebla,1,1185
2022-2023,Clausura,150º,Samantha Marlen Martínez,Puebla,1,1203
2022-2023,Clausura,151º,Fátima Rosales,Puebla,1,1260
2022-2023,Clausura,152º,Viridiana López,Puebla,1,1392
2022-2023,Clausura,153º,Fanny Lizeth Grano,Necaxa,1,558
2022-2023,Clausura,154º,Lucia Muñoz,Necaxa,1,1015
2022-2023,Clausura,155º,Yuliana Marlene Mora,Mazatlán FC,1,778
2022-2023,Clausura,156º,Cristina María Torres,Mazatlán FC,1,994
2022-2023,Clausura,157º,Magaly Cortés,Mazatlán FC,1,1156
2022-2023,Clausura,158º,Yaritza Yanely Arista,Mazatlán FC,1,1395
